entry_time,exit_time,entry_price,exit_price,position,pnl,pnl_pct,exit_reason,bars_held
2025-07-22 04:55:00,2025-07-22 07:46:00,2836.5,2834.5,Short,20000.0,0.07050943063634761,TP,1
2025-07-22 07:47:00,2025-07-22 07:48:00,2834.0,2835.5,Short,-15000.0,-0.0529287226534933,SL,1
2025-07-22 07:51:00,2025-07-22 07:57:00,2835.0,2835.5,Short,-5000.0,-0.017636684303350973,Trail,6
2025-07-22 07:58:00,2025-07-22 07:59:00,2835.0,2837.0,Short,-20000.0,-0.07054673721340389,SL,1
2025-07-22 08:09:00,2025-07-22 08:10:00,2855.0,2859.0,Short,-40000.0,-0.14010507880910683,SL,1
2025-07-22 08:11:00,2025-07-22 08:12:00,2859.5,2860.0,Short,-5000.0,-0.017485574401119076,Trail,1
2025-07-22 08:13:00,2025-07-22 08:15:00,2859.0,2861.5,Short,-25000.0,-0.08744316194473592,Trail,2
2025-07-22 08:16:00,2025-07-22 08:26:00,2864.0,2854.5,Short,95000.0,0.33170391061452514,TP,10
2025-07-23 04:48:00,2025-07-23 04:49:00,2834.5,2835.0,Short,-5000.0,-0.01763979537837361,SL,1
2025-07-23 04:50:00,2025-07-23 04:51:00,2834.5,2834.5,Short,-0.0,-0.0,Trail,1
2025-07-23 04:54:00,2025-07-23 04:55:00,2835.0,2835.0,Short,-0.0,-0.0,Trail,1
2025-07-23 07:46:00,2025-07-23 07:56:00,2878.0,2878.0,Short,-0.0,-0.0,Trail,10
2025-07-23 07:57:00,2025-07-23 07:58:00,2879.5,2879.5,Short,-0.0,-0.0,Trail,1
2025-07-23 07:59:00,2025-07-23 08:00:00,2878.0,2879.0,Short,-10000.0,-0.03474635163307853,Trail,1
2025-07-23 08:01:00,2025-07-23 08:03:00,2881.0,2889.0,Short,-80000.0,-0.2776813606386671,SL,2
2025-07-23 08:04:00,2025-07-23 08:09:00,2887.5,2891.5,Short,-40000.0,-0.13852813852813853,SL,5
2025-07-23 08:10:00,2025-07-23 08:13:00,2890.5,2895.0,Short,-45000.0,-0.15568240788790866,SL,3
2025-07-23 08:14:00,2025-07-23 08:15:00,2900.0,2902.5,Short,-25000.0,-0.08620689655172414,Trail,1
2025-07-23 08:16:00,2025-07-23 08:17:00,2903.0,2907.0,Short,-40000.0,-0.13778849466069584,Trail,1
2025-07-23 08:18:00,2025-07-23 08:25:00,2905.0,2892.0,Short,130000.0,0.44750430292598964,TP,7
2025-07-23 08:26:00,2025-07-23 08:31:00,2888.0,2890.5,Short,-25000.0,-0.08656509695290858,Trail,5
2025-07-23 08:32:00,2025-07-23 08:33:00,2892.5,2895.0,Short,-25000.0,-0.08643042350907519,Trail,1
2025-07-23 08:50:00,2025-07-23 08:51:00,2900.5,2902.0,Short,-15000.0,-0.051715221513532146,Trail,1
2025-07-23 08:55:00,2025-07-23 08:56:00,2906.0,2907.5,Short,-15000.0,-0.051617343427391604,Trail,1
2025-07-24 07:54:00,2025-07-24 07:58:00,2959.0,2954.5,Short,45000.0,0.15207840486650895,TP,4
2025-07-24 08:00:00,2025-07-24 08:03:00,2961.0,2961.5,Short,-5000.0,-0.016886187098953058,Trail,3
2025-07-24 08:04:00,2025-07-24 08:05:00,2965.5,2965.5,Short,-0.0,-0.0,Trail,1
2025-07-24 08:06:00,2025-07-24 08:08:00,2966.5,2970.0,Short,-35000.0,-0.11798415641328165,Trail,2
2025-07-24 08:09:00,2025-07-24 08:15:00,2966.0,2971.0,Short,-50000.0,-0.16857720836142953,SL,6
2025-07-24 08:16:00,2025-07-24 08:17:00,2971.5,2971.5,Short,-0.0,-0.0,Trail,1
2025-07-24 08:18:00,2025-07-24 08:19:00,2971.5,2972.0,Short,-5000.0,-0.016826518593303048,Trail,1
2025-07-24 08:20:00,2025-07-24 08:31:00,2972.0,2962.0,Short,100000.0,0.3364737550471063,TP,11
2025-07-28 07:46:00,2025-07-28 07:48:00,2957.0,2953.0,Short,40000.0,0.13527223537368954,TP,2
2025-07-28 07:49:00,2025-07-28 07:58:00,2954.0,2953.5,Short,5000.0,0.016926201760324982,Trail,9
2025-07-28 07:59:00,2025-07-28 08:00:00,2953.0,2954.0,Short,-10000.0,-0.033863867253640365,Trail,1
2025-07-28 08:01:00,2025-07-28 08:02:00,2953.0,2953.0,Short,-0.0,-0.0,Trail,1
2025-07-28 08:03:00,2025-07-28 08:06:00,2951.0,2944.5,Short,65000.0,0.22026431718061676,TP,3
2025-07-30 07:48:00,2025-07-30 07:49:00,2906.0,2907.5,Short,-15000.0,-0.051617343427391604,SL,1
2025-07-30 07:50:00,2025-07-30 07:52:00,2908.5,2904.0,Short,45000.0,0.15471892728210418,TP,2
2025-07-30 07:53:00,2025-07-30 07:54:00,2903.0,2904.0,Short,-10000.0,-0.03444712366517396,Trail,1
2025-07-30 07:55:00,2025-07-30 07:56:00,2906.0,2906.0,Short,-0.0,-0.0,Trail,1
2025-07-30 07:57:00,2025-07-30 07:58:00,2906.5,2907.0,Short,-5000.0,-0.01720282126268708,Trail,1
2025-07-30 07:59:00,2025-07-30 08:00:00,2909.0,2909.0,Short,-0.0,-0.0,Trail,1
2025-07-30 08:13:00,2025-07-30 08:21:00,2912.0,2913.0,Short,-10000.0,-0.034340659340659344,Trail,8
2025-07-31 07:46:00,2025-07-31 07:50:00,2937.0,2936.0,Short,10000.0,0.034048348655090224,Trail,4
2025-07-31 07:51:00,2025-07-31 08:00:00,2935.5,2930.0,Short,55000.0,0.18736160790325326,TP,9
2025-08-01 21:46:00,2025-08-01 21:47:00,2893.0,2894.0,Short,-10000.0,-0.034566194262011754,Trail,1
2025-08-01 22:05:00,2025-08-01 22:10:00,2886.5,2891.0,Short,-45000.0,-0.15589814654425777,SL,5
2025-08-04 07:46:00,2025-08-04 07:47:00,2884.0,2885.0,Short,-10000.0,-0.03467406380027739,Trail,1
2025-08-04 07:48:00,2025-08-04 07:49:00,2885.5,2886.5,Short,-10000.0,-0.03465603881476347,Trail,1
2025-08-04 07:50:00,2025-08-04 07:56:00,2888.0,2888.5,Short,-5000.0,-0.01731301939058172,Trail,6
2025-08-04 07:57:00,2025-08-04 08:00:00,2888.0,2891.0,Short,-30000.0,-0.10387811634349031,SL,3
2025-08-04 08:04:00,2025-08-04 08:08:00,2889.0,2891.5,Short,-25000.0,-0.08653513326410522,Trail,4
2025-08-04 08:11:00,2025-08-04 08:12:00,2897.0,2897.5,Short,-5000.0,-0.01725923369002416,Trail,1
2025-08-04 08:18:00,2025-08-04 08:28:00,2897.5,2896.5,Short,10000.0,0.03451251078515962,Trail,10
2025-08-05 04:54:00,2025-08-05 04:55:00,2941.0,2941.0,Short,-0.0,-0.0,Trail,1
2025-08-05 07:46:00,2025-08-05 07:49:00,2934.5,2934.5,Short,-0.0,-0.0,Trail,3
2025-08-06 08:10:00,2025-08-06 08:11:00,2953.5,2954.5,Short,-10000.0,-0.03385813441679363,Trail,1
2025-08-08 07:48:00,2025-08-08 07:52:00,3003.5,2999.5,Short,40000.0,0.1331779590477776,TP,4
2025-08-08 07:53:00,2025-08-08 07:54:00,2997.5,2998.0,Short,-5000.0,-0.016680567139282735,Trail,1
2025-08-08 07:55:00,2025-08-08 07:56:00,2998.0,2998.5,Short,-5000.0,-0.016677785190126748,Trail,1
2025-08-08 07:57:00,2025-08-08 07:58:00,3000.5,3002.0,Short,-15000.0,-0.049991668055324116,Trail,1
2025-08-08 07:59:00,2025-08-08 08:00:00,3001.0,3001.5,Short,-5000.0,-0.016661112962345886,Trail,1
2025-08-08 08:01:00,2025-08-08 08:02:00,3003.5,3005.0,Short,-15000.0,-0.049941734642916596,Trail,1
2025-08-08 08:03:00,2025-08-08 08:04:00,3007.0,3008.0,Short,-10000.0,-0.03325573661456601,Trail,1
2025-08-08 08:05:00,2025-08-08 08:07:00,3008.5,3010.5,Short,-20000.0,-0.06647831145088914,SL,2
2025-08-08 08:12:00,2025-08-08 08:24:00,3015.0,3018.5,Short,-35000.0,-0.11608623548922056,SL,12
2025-08-08 08:26:00,2025-08-08 08:27:00,3020.5,3021.0,Short,-5000.0,-0.01655355073663301,Trail,1
2025-08-08 08:58:00,2025-08-08 09:01:00,3031.0,3033.0,Short,-20000.0,-0.06598482349059716,SL,3
2025-08-12 04:55:00,2025-08-12 07:46:00,3051.5,3054.0,Short,-25000.0,-0.08192692118630182,SL,1
