datetime,open,high,low,close,volume
2023-07-03 10:34:00,33655,33660,33645,33645,77
2023-07-03 10:35:00,33645,33650,33635,33650,69
2023-07-03 10:36:00,33650,33655,33645,33655,118
2023-07-03 10:37:00,33660,33665,33660,33660,46
2023-07-03 10:38:00,33660,33660,33645,33645,61
2023-07-03 10:39:00,33645,33650,33645,33650,47
2023-07-03 10:40:00,33650,33650,33650,33650,8
2023-07-03 10:41:00,33650,33655,33645,33645,108
2023-07-03 10:42:00,33645,33655,33645,33650,115
2023-07-03 10:43:00,33650,33650,33635,33645,78
2023-07-03 10:44:00,33640,33645,33635,33635,33
2023-07-03 10:45:00,33635,33640,33620,33630,108
2023-07-03 10:46:00,33630,33635,33630,33635,53
2023-07-03 10:47:00,33635,33645,33635,33640,55
2023-07-03 10:48:00,33640,33645,33635,33640,43
2023-07-03 10:49:00,33640,33640,33630,33630,38
2023-07-03 10:50:00,33630,33635,33630,33635,18
2023-07-03 10:51:00,33635,33655,33635,33655,37
2023-07-03 10:52:00,33660,33660,33655,33655,14
2023-07-03 10:53:00,33655,33660,33650,33650,25
2023-07-03 10:54:00,33650,33655,33645,33645,28
2023-07-03 10:55:00,33645,33645,33640,33640,29
2023-07-03 10:56:00,33640,33645,33640,33645,4
2023-07-03 10:57:00,33645,33645,33640,33640,30
2023-07-03 10:58:00,33640,33640,33635,33640,18
2023-07-03 10:59:00,33645,33655,33645,33655,21
2023-07-03 11:00:00,33660,33660,33650,33650,62
2023-07-03 11:01:00,33650,33655,33645,33650,59
2023-07-03 11:02:00,33655,33655,33645,33650,55
2023-07-03 11:04:00,33645,33655,33645,33650,62
2023-07-03 11:05:00,33655,33665,33655,33660,57
2023-07-03 11:06:00,33660,33660,33650,33655,23
2023-07-03 11:07:00,33660,33660,33660,33660,19
2023-07-03 11:08:00,33660,33665,33660,33665,52
2023-07-03 11:09:00,33665,33665,33660,33660,27
2023-07-03 11:10:00,33660,33665,33660,33665,65
2023-07-03 11:12:00,33665,33670,33665,33670,33
2023-07-03 11:13:00,33665,33665,33665,33665,7
2023-07-03 11:14:00,33665,33665,33665,33665,20
2023-07-03 11:15:00,33660,33660,33655,33660,23
2023-07-03 11:16:00,33665,33665,33655,33655,40
2023-07-03 11:17:00,33655,33655,33650,33650,13
2023-07-03 11:18:00,33650,33650,33640,33640,34
2023-07-03 11:19:00,33640,33640,33630,33635,59
2023-07-03 11:20:00,33635,33640,33630,33635,38
2023-07-03 11:21:00,33635,33640,33630,33635,30
2023-07-03 11:22:00,33635,33645,33635,33640,28
2023-07-03 11:23:00,33640,33640,33640,33640,5
2023-07-03 11:24:00,33640,33640,33635,33635,49
2023-07-03 11:25:00,33640,33640,33635,33635,5
2023-07-03 11:26:00,33640,33640,33640,33640,1
2023-07-03 11:28:00,33635,33645,33635,33645,38
2023-07-03 11:29:00,33650,33655,33645,33655,43
2023-07-03 11:30:00,33655,33660,33655,33660,25
2023-07-03 11:31:00,33655,33665,33650,33660,159
2023-07-03 11:32:00,33655,33660,33645,33645,78
2023-07-03 11:33:00,33640,33640,33625,33625,106
2023-07-03 11:34:00,33625,33655,33625,33655,161
2023-07-03 11:35:00,33660,33665,33655,33660,61
2023-07-03 11:36:00,33660,33680,33660,33680,62
2023-07-03 11:37:00,33680,33690,33680,33685,55
2023-07-03 11:38:00,33680,33690,33680,33690,24
2023-07-03 11:39:00,33690,33695,33685,33685,35
2023-07-03 11:40:00,33690,33690,33685,33685,41
2023-07-03 11:41:00,33690,33690,33690,33690,6
2023-07-03 11:42:00,33690,33700,33690,33700,33
2023-07-03 11:43:00,33700,33740,33700,33735,214
2023-07-03 11:44:00,33735,33735,33720,33720,119
2023-07-03 11:45:00,33720,33730,33705,33710,82
2023-07-03 11:46:00,33705,33725,33705,33725,64
2023-07-03 11:47:00,33720,33720,33710,33715,52
2023-07-03 11:48:00,33710,33715,33705,33705,48
2023-07-03 11:49:00,33705,33710,33705,33710,29
2023-07-03 11:50:00,33705,33705,33695,33705,48
2023-07-03 11:51:00,33705,33710,33705,33705,47
2023-07-03 11:52:00,33700,33700,33695,33695,48
2023-07-03 11:53:00,33695,33700,33695,33695,22
2023-07-03 11:54:00,33695,33720,33695,33720,96
2023-07-03 11:55:00,33725,33725,33720,33720,49
2023-07-03 11:56:00,33720,33725,33715,33725,21
2023-07-03 11:57:00,33725,33730,33725,33725,13
2023-07-03 11:58:00,33730,33735,33730,33735,35
2023-07-03 11:59:00,33735,33735,33730,33735,40
2023-07-03 12:00:00,33735,33740,33730,33740,30
2023-07-03 12:01:00,33740,33740,33715,33715,99
2023-07-03 12:02:00,33715,33725,33715,33725,34
2023-07-03 12:03:00,33720,33725,33715,33720,134
2023-07-03 12:04:00,33715,33720,33715,33720,73
2023-07-03 12:05:00,33715,33730,33715,33730,53
2023-07-03 12:06:00,33730,33740,33730,33735,116
2023-07-03 12:07:00,33735,33735,33715,33715,88
2023-07-03 12:08:00,33715,33720,33710,33715,58
2023-07-03 12:09:00,33710,33715,33710,33710,39
2023-07-03 12:10:00,33715,33715,33715,33715,41
2023-07-03 12:11:00,33720,33735,33720,33735,57
2023-07-03 12:12:00,33730,33730,33730,33730,32
2023-07-03 12:13:00,33725,33740,33725,33740,77
2023-07-03 12:14:00,33735,33740,33730,33730,30
2023-07-03 12:15:00,33725,33725,33715,33725,71
2023-07-03 12:16:00,33725,33735,33725,33730,32
2023-07-03 12:17:00,33730,33730,33725,33725,54
2023-07-03 12:18:00,33720,33730,33715,33730,85
2023-07-03 12:19:00,33730,33730,33725,33725,13
2023-07-03 12:20:00,33725,33730,33715,33720,26
2023-07-03 12:21:00,33720,33720,33715,33720,109
2023-07-03 12:22:00,33720,33725,33720,33725,46
2023-07-03 12:23:00,33720,33720,33715,33715,16
2023-07-03 12:24:00,33715,33725,33715,33725,51
2023-07-03 12:25:00,33730,33730,33725,33725,48
2023-07-03 12:26:00,33730,33730,33725,33730,26
2023-07-03 12:27:00,33730,33730,33720,33720,39
2023-07-03 12:28:00,33720,33720,33720,33720,14
2023-07-03 12:29:00,33720,33720,33710,33715,61
2023-07-03 12:30:00,33715,33725,33715,33715,43
2023-07-03 12:31:00,33720,33725,33715,33725,60
2023-07-03 12:32:00,33725,33735,33715,33715,45
2023-07-03 12:33:00,33715,33720,33715,33720,14
2023-07-03 12:34:00,33720,33725,33720,33725,31
2023-07-03 12:35:00,33730,33735,33730,33735,54
2023-07-03 12:36:00,33735,33740,33730,33730,61
2023-07-03 12:37:00,33730,33730,33730,33730,9
2023-07-03 12:38:00,33735,33740,33735,33735,28
2023-07-03 12:39:00,33735,33735,33720,33720,104
2023-07-03 12:40:00,33725,33725,33725,33725,40
2023-07-03 12:41:00,33725,33730,33725,33730,37
2023-07-03 12:42:00,33725,33725,33725,33725,10
2023-07-03 12:43:00,33725,33730,33725,33725,20
2023-07-03 12:44:00,33730,33730,33715,33720,61
2023-07-03 12:45:00,33720,33720,33720,33720,8
2023-07-03 12:46:00,33720,33725,33720,33725,80
2023-07-03 12:47:00,33725,33725,33720,33720,52
2023-07-03 12:48:00,33725,33730,33725,33730,63
2023-07-03 12:49:00,33730,33730,33725,33725,42
2023-07-03 12:50:00,33725,33730,33725,33730,14
2023-07-03 12:51:00,33730,33740,33730,33740,50
2023-07-03 12:52:00,33740,33740,33740,33740,39
2023-07-03 12:53:00,33735,33735,33735,33735,30
2023-07-03 12:56:00,33735,33735,33730,33735,29
2023-07-03 12:57:00,33735,33735,33735,33735,4
2023-07-03 12:59:00,33740,33745,33730,33730,132
2023-07-03 13:00:00,33730,33735,33725,33725,51
2023-07-03 13:01:00,33725,33735,33725,33735,65
2023-07-03 13:02:00,33730,33735,33730,33735,84
2023-07-03 13:03:00,33735,33740,33730,33730,118
2023-07-03 13:04:00,33735,33740,33735,33735,33
2023-07-03 13:05:00,33735,33740,33730,33735,77
2023-07-03 13:06:00,33740,33740,33735,33740,48
2023-07-03 13:07:00,33740,33740,33735,33735,33
2023-07-03 13:08:00,33735,33735,33715,33715,51
2023-07-03 13:09:00,33710,33740,33705,33740,226
2023-07-03 13:10:00,33740,33740,33730,33735,26
2023-07-03 13:11:00,33730,33735,33720,33720,68
2023-07-03 13:12:00,33720,33725,33715,33715,19
2023-07-03 13:13:00,33715,33725,33715,33725,35
2023-07-03 13:14:00,33725,33730,33725,33725,28
2023-07-03 13:15:00,33720,33725,33715,33725,33
2023-07-03 13:16:00,33725,33730,33725,33725,70
2023-07-03 13:17:00,33725,33725,33715,33715,33
2023-07-03 13:18:00,33715,33715,33710,33710,18
2023-07-03 13:19:00,33710,33715,33710,33715,34
2023-07-03 13:20:00,33720,33725,33715,33715,28
2023-07-03 13:21:00,33715,33715,33710,33710,30
2023-07-03 13:22:00,33710,33710,33710,33710,21
2023-07-03 13:23:00,33710,33715,33705,33705,48
2023-07-03 13:24:00,33715,33720,33715,33720,56
2023-07-03 13:25:00,33720,33720,33715,33720,18
2023-07-03 13:26:00,33715,33715,33700,33700,37
2023-07-03 13:27:00,33705,33710,33705,33710,28
2023-07-03 13:28:00,33715,33715,33710,33710,88
2023-07-03 13:29:00,33710,33715,33710,33710,17
2023-07-03 13:30:00,33715,33720,33715,33720,28
2023-07-03 13:31:00,33720,33735,33720,33735,86
2023-07-03 13:32:00,33735,33735,33735,33735,45
2023-07-03 13:33:00,33735,33740,33720,33720,82
2023-07-03 13:34:00,33720,33725,33720,33725,61
2023-07-03 13:35:00,33725,33730,33725,33725,19
2023-07-03 13:36:00,33725,33730,33725,33730,44
2023-07-03 13:37:00,33730,33730,33720,33720,82
2023-07-03 13:38:00,33720,33725,33715,33725,40
2023-07-03 13:39:00,33725,33730,33725,33725,33
2023-07-03 13:40:00,33720,33720,33710,33715,36
2023-07-03 13:41:00,33715,33715,33705,33705,116
2023-07-03 13:42:00,33710,33720,33705,33715,160
2023-07-03 13:43:00,33715,33715,33710,33710,18
2023-07-03 13:44:00,33705,33710,33705,33710,89
2023-07-03 13:45:00,33710,33710,33705,33705,63
2023-07-03 13:46:00,33700,33705,33700,33700,49
2023-07-03 13:47:00,33705,33705,33700,33700,81
2023-07-03 13:48:00,33700,33705,33700,33700,20
2023-07-03 13:49:00,33700,33700,33695,33700,91
2023-07-03 13:50:00,33705,33710,33700,33705,76
2023-07-03 13:51:00,33705,33705,33695,33700,82
2023-07-03 13:52:00,33695,33695,33695,33695,20
2023-07-03 13:53:00,33700,33705,33700,33700,35
2023-07-03 13:54:00,33705,33705,33700,33705,46
2023-07-03 13:55:00,33705,33705,33695,33695,122
2023-07-03 13:56:00,33690,33705,33690,33700,172
2023-07-03 13:57:00,33695,33700,33695,33695,129
2023-07-03 13:58:00,33695,33700,33680,33685,182
2023-07-03 13:59:00,33685,33695,33685,33695,147
2023-07-03 14:00:00,33700,33715,33700,33710,498
2023-07-03 14:01:00,33715,33720,33695,33700,831
2023-07-03 14:02:00,33700,33700,33670,33680,369
2023-07-03 14:03:00,33680,33680,33670,33680,377
2023-07-03 14:04:00,33680,33685,33670,33670,157
2023-07-03 14:05:00,33670,33670,33660,33665,197
2023-07-03 14:06:00,33670,33675,33665,33665,106
2023-07-03 14:07:00,33665,33670,33660,33665,62
2023-07-03 14:08:00,33665,33680,33660,33680,222
2023-07-03 14:09:00,33675,33685,33670,33685,162
2023-07-03 14:10:00,33685,33690,33675,33685,77
2023-07-03 14:11:00,33685,33690,33680,33680,79
2023-07-03 14:12:00,33675,33690,33665,33690,149
2023-07-03 14:13:00,33690,33695,33685,33685,78
2023-07-03 14:14:00,33685,33685,33680,33680,59
2023-07-03 14:15:00,33680,33680,33660,33660,95
2023-07-03 14:16:00,33655,33660,33645,33655,197
2023-07-03 14:17:00,33660,33665,33655,33665,42
2023-07-03 14:18:00,33660,33660,33655,33655,77
2023-07-03 14:19:00,33655,33660,33650,33650,33
2023-07-03 14:20:00,33650,33655,33650,33655,54
2023-07-03 14:21:00,33655,33665,33655,33655,57
2023-07-03 14:22:00,33655,33655,33650,33650,31
2023-07-03 14:23:00,33655,33655,33650,33655,20
2023-07-03 14:24:00,33650,33660,33650,33660,53
2023-07-03 14:25:00,33665,33665,33655,33665,145
2023-07-04 14:56:00,33685,33690,33680,33685,18
2023-07-04 14:57:00,33685,33690,33685,33690,12
2023-07-04 14:58:00,33685,33685,33685,33685,12
2023-07-04 14:59:00,33685,33690,33680,33685,67
2023-07-04 15:00:00,33685,33690,33685,33685,35
2023-07-04 15:01:00,33690,33695,33685,33690,39
2023-07-04 15:02:00,33690,33690,33690,33690,16
2023-07-04 15:03:00,33695,33700,33690,33700,39
2023-07-04 15:04:00,33705,33705,33700,33700,17
2023-07-04 15:05:00,33695,33695,33695,33695,12
2023-07-04 15:06:00,33695,33695,33695,33695,5
2023-07-04 15:08:00,33685,33685,33675,33675,8
2023-07-04 15:09:00,33675,33685,33675,33685,9
2023-07-04 15:10:00,33685,33700,33685,33700,8
2023-07-04 15:11:00,33700,33700,33700,33700,7
2023-07-04 15:13:00,33700,33700,33695,33700,10
2023-07-04 15:14:00,33705,33705,33705,33705,16
2023-07-04 15:15:00,33700,33700,33695,33695,6
2023-07-04 08:45:00,33435,33435,33420,33420,100
2023-07-04 08:46:00,33420,33420,33400,33415,215
2023-07-04 08:47:00,33415,33420,33400,33405,156
2023-07-04 08:48:00,33405,33415,33390,33415,186
2023-07-04 08:49:00,33415,33415,33405,33415,96
2023-07-04 08:50:00,33420,33420,33395,33405,107
2023-07-04 08:51:00,33405,33410,33395,33410,158
2023-07-04 08:52:00,33410,33415,33405,33415,113
2023-07-04 08:53:00,33420,33425,33415,33425,96
2023-07-04 08:54:00,33425,33430,33410,33415,87
2023-07-04 08:55:00,33420,33420,33400,33410,108
2023-07-04 08:56:00,33405,33420,33400,33410,62
2023-07-04 08:57:00,33405,33405,33390,33390,101
2023-07-04 08:58:00,33385,33390,33375,33385,153
2023-07-04 08:59:00,33385,33410,33385,33405,72
2023-07-04 09:00:00,33405,33405,33390,33405,102
2023-07-04 09:01:00,33405,33415,33395,33400,67
2023-07-04 09:02:00,33400,33410,33395,33395,65
2023-07-04 09:03:00,33395,33415,33395,33415,66
2023-07-04 09:04:00,33410,33425,33405,33425,105
2023-07-04 09:05:00,33430,33430,33415,33415,110
2023-07-04 09:06:00,33410,33415,33405,33405,57
2023-07-04 09:07:00,33405,33415,33405,33410,155
2023-07-04 09:08:00,33410,33410,33390,33405,80
2023-07-04 09:09:00,33405,33415,33400,33405,106
2023-07-04 09:10:00,33400,33400,33385,33395,100
2023-07-04 09:11:00,33395,33395,33380,33385,89
2023-07-04 09:12:00,33385,33390,33385,33390,55
2023-07-04 09:13:00,33385,33385,33365,33370,106
2023-07-04 09:14:00,33370,33380,33370,33380,68
2023-07-04 09:15:00,33380,33405,33380,33400,114
2023-07-04 09:16:00,33400,33415,33395,33395,90
2023-07-04 09:17:00,33395,33400,33385,33385,90
2023-07-04 09:18:00,33385,33405,33385,33400,86
2023-07-04 09:19:00,33395,33420,33395,33415,60
2023-07-04 09:20:00,33415,33420,33405,33415,150
2023-07-04 09:21:00,33410,33420,33405,33415,61
2023-07-04 09:22:00,33420,33420,33415,33415,34
2023-07-04 09:23:00,33415,33430,33415,33415,77
2023-07-04 09:24:00,33415,33415,33400,33400,38
2023-07-04 09:25:00,33395,33405,33390,33390,118
2023-07-04 09:26:00,33395,33400,33375,33375,84
2023-07-04 09:27:00,33375,33385,33370,33370,44
2023-07-04 09:28:00,33370,33380,33370,33370,73
2023-07-04 09:29:00,33370,33380,33370,33380,48
2023-07-04 09:30:00,33380,33390,33375,33385,70
2023-07-04 09:31:00,33380,33390,33365,33375,107
2023-07-04 09:32:00,33380,33380,33335,33340,176
2023-07-04 09:33:00,33340,33370,33340,33370,138
2023-07-04 09:34:00,33370,33370,33355,33355,68
